ID,Plan_sku,Nombre,tamaño,descripción,precio,url_foto_marca,billing_type
61,3MonthsToallaTangaBrasileraNosotras99500,Toalla tanga brasilera Nosotras,12,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
62,3MonthsToallaPlusNosotras99500,Toalla plus Nosotras,13,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
63,3MonthsToallaUltradelgadaStayfree99500,Toalla ultradelgada Stayfree,14,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515,3Meses
64,3MonthsToallaNormalStayfree99500,Toalla Normal Stayfree,15,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515,3Meses
65,3MonthsToallaMallaKotex99500,Toalla Malla Kotex,16,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,3Meses
66,3MonthsToallaSportKotex99500,Toalla Sport Kotex,17,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,3Meses
67,6MonthsTamponSuperOB188500,Tampon super o.b.,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa.",$188.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,6Meses
68,6MonthsTamponMedioOB188500,Tampon medio o.b.,2,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,6Meses
69,6MonthsTamponMiniOB188500,Tampon mini o.b.,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,6Meses
70,6MonthsTamponMedioApliOB188500,Tampon medio con aplicador o.b.,4,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,6Meses
71,6MonthsTamponSuperApliOB188500,Tampon super con aplicador o.b.,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,6Meses
72,6MonthsTamponSuperNosotras188500,Tampon super Nosotras,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
73,6MonthsTamponRegularNosotras188500,Tampon regular Nosotras,6,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
74,6MonthsTamponMiniNosotras188500,Tampon mini Nosotras,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
75,6MonthsTamponRegularApliNosotras188500,Tampon regular con aplicador Nosotras,7,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
76,6MonthsTamponSuperApliNosotras188500,Tampon super con aplicador Nosotras,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
77,6MonthsTamponMedioKotex188500,Tampon medio Kotex,2,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,6Meses
78,6MonthsTamponSuperKotex188500,Tampon super Kotex,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,6Meses
79,6MonthsToallaSensitivNosotras188500,Toalla sensiti v Nosotras,8,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
80,6MonthsToallaPlusClasicaNosotras188500,Toalla plus clasica Nosotras,9,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
81,6MonthsToallaUltraInvisibleNosotras188500,Toalla ultra invisible Nosotras,10,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
82,6MonthsToallaInvisibleRapigelNosotras188500,Toalla invisible rapisec Nosotras,11,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
83,6MonthsToallaTangaBrasileraNosotras188500,Toalla tanga brasilera Nosotras,12,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
84,6MonthsToallaPlusNosotras188500,Toalla plus Nosotras,13,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,6Meses
85,6MonthsToallaUltradelgadaStayfree188500,Toalla ultradelgada Stayfree,14,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515,6Meses
86,6MonthsToallaNormalStayfree188500,Toalla Normal Stayfree,15,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515,6Meses
87,6MonthsToallaMallaKotex188500,Toalla Malla Kotex,16,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,6Meses
88,6MonthsToallaSportKotex188500,Toalla Sport Kotex,17,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$188.500,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,6Meses
